# collatz-paradox-witnesses-v1
# source_sha256=7a3c293e0fc9036d6b4670dd9a497e9acbae668c2f49ad86edf34ab27bdc8607
j,q,n
8,5,7
8,5,9
8,5,18
8,5,19
8,5,25
27,17,164
27,17,165
27,17,166
27,17,171
27,17,231
27,17,248
27,17,250
27,17,257
27,17,258
27,17,259
27,17,328
27,17,330
27,17,332
27,17,333
27,17,342
27,17,343
27,17,345
27,17,347
27,17,376
27,17,386
27,17,387
27,17,388
27,17,389
27,17,390
27,17,391
27,17,432
27,17,436
27,17,437
27,17,440
27,17,442
27,17,580
27,17,581
27,17,582
27,17,584
27,17,586
27,17,587
27,17,588
27,17,589
27,17,656
27,17,660
27,17,661
27,17,664
27,17,666
27,17,864
27,17,872
27,17,874
27,17,880
27,17,881
27,17,884
27,17,885
46,29,91
46,29,121
46,29,242
46,29,243
46,29,313
46,29,322
46,29,323
46,29,327
46,29,411
46,29,415
46,29,417
46,29,428
46,29,429
46,29,430
46,29,457
46,29,459
46,29,462
46,29,463
46,29,470
46,29,471
46,29,484
46,29,485
46,29,486
46,29,543
46,29,553
46,29,568
46,29,570
46,29,572
46,29,573
46,29,609
46,29,617
46,29,619
46,29,623
46,29,626
46,29,627
46,29,644
46,29,645
46,29,646
46,29,649
46,29,654
46,29,655
46,29,667
46,29,684
46,29,685
46,29,686
46,29,689
46,29,690
46,29,691
46,29,694
46,29,695
46,29,697
46,29,706
46,29,707
46,29,856
46,29,858
46,29,859
46,29,860
46,29,861
46,29,864
46,29,865
46,29,872
46,29,873
46,29,874
46,29,879
46,29,880
46,29,881
46,29,884
46,29,885
46,29,889
46,29,898
46,29,899
46,29,903
46,29,1028
46,29,1029
46,29,1030
46,29,1032
46,29,1034
46,29,1035
46,29,1036
46,29,1037
46,29,1041
46,29,1042
46,29,1043
46,29,1046
46,29,1047
46,29,1060
46,29,1061
46,29,1062
46,29,1136
46,29,1140
46,29,1141
46,29,1144
46,29,1146
46,29,1312
46,29,1320
46,29,1322
46,29,1328
46,29,1332
46,29,1333
46,29,1345
46,29,1348
46,29,1349
46,29,1350
46,29,1355
46,29,1544
46,29,1546
46,29,1548
46,29,1549
46,29,1552
46,29,1553
46,29,1556
46,29,1557
46,29,1560
46,29,1562
46,29,1564
46,29,1565
46,29,1566
46,29,1570
46,29,1571
46,29,1579
46,29,1592
46,29,1593
46,29,1594
46,29,1596
46,29,1597
46,29,1728
46,29,1744
46,29,1748
46,29,1749
46,29,1760
46,29,1762
46,29,1763
46,29,1768
46,29,1770
46,29,1777
46,29,1793
46,29,1796
46,29,1797
46,29,1798
46,29,1806
46,29,1807
46,29,1984
46,29,2000
46,29,2004
46,29,2005
46,29,2016
46,29,2018
46,29,2019
46,29,2024
46,29,2026
46,29,2033
46,29,2272
46,29,2280
46,29,2282
46,29,2288
46,29,2289
46,29,2292
46,29,2293
46,29,2305
46,29,2320
46,29,2324
46,29,2325
46,29,2328
46,29,2330
46,29,2336
46,29,2344
46,29,2346
46,29,2348
46,29,2349
46,29,2350
46,29,2352
46,29,2356
46,29,2357
46,29,2369
46,29,2390
46,29,2391
46,29,2392
46,29,2394
46,29,2396
46,29,2397
46,29,2409
46,29,2415
46,29,2427
46,29,3008
46,29,3024
46,29,3028
46,29,3029
46,29,3040
46,29,3042
46,29,3043
46,29,3048
46,29,3050
46,29,3057
46,29,3073
46,29,3456
46,29,3488
46,29,3496
46,29,3498
46,29,3520
46,29,3524
46,29,3525
46,29,3526
46,29,3536
46,29,3540
46,29,3541
46,29,3554
46,29,3555
46,29,3586
46,29,3587
46,29,3592
46,29,3594
46,29,3596
46,29,3597
46,29,3601
46,29,3612
46,29,3613
46,29,3614
46,29,3623
46,29,3641
46,29,4544
46,29,4560
46,29,4564
46,29,4565
