# collatz-trajectory-fixtures-v1
start,t_delay,t_max,col_delay,col_max
77671,148,785412368,231,1570824736
113383,158,1241055674,247,2482111348
12327829503,346,10361199457202525864,543,20722398914405051728
23035537407,526,34419078320774113520,836,68838156641548227040
45871962271,354,41170824451011417002,555,82341648902022834004
51739336447,486,57319808570806999220,770,114639617141613998440
231913730799,374,1095171911941437256778,586,2190343823882874513556
272025660543,406,10974241817835208981874,638,21948483635670417963748
28019077177231758495,1531,5907280214282863012516160,2456,11814560428565726025032320

